sku,Image Path
111745,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSTAS42-NAVY_1__9.jpg
111744,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSTAS42-NAVY_1__8.jpg
111743,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSTAS42-NAVY_1__7.jpg
111742,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSTAS42-NAVY_1__6.jpg
111676,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSTAS32-OWHT_1__10.jpg
111675,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSTAS32-OWHT_1__9.jpg
111674,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSTAS32-OWHT_1__8.jpg
111673,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSTAS32-OWHT_1__7.jpg
111672,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSTAS32-OWHT_1__6.jpg
111661,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSPAS4-WINE_1__10.jpg
111660,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSPAS4-WINE_1__9.jpg
111659,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSPAS4-WINE_1__8.jpg
111658,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSPAS4-WINE_1__7.jpg
111657,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTHSPAS4-WINE_1__6.jpg
111596,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTFSTAS44-SWED_1__4.jpg
111595,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTFSTAS44-SWED_1__3.jpg
111594,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTFSTAS44-SWED_1__2.jpg
111593,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTFSTAS44-SWED_1__1.jpg
111592,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142MTFSTAS44-SWED_1_.jpg
110818,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WOSSHSV7-DPNK_1__4.jpg
110817,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WOSSHSV7-DPNK_1__3.jpg
110816,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WOSSHSV7-DPNK_1__2.jpg
110815,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WOSSHSV7-DPNK_1__1.jpg
110814,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WOSSHSV7-DPNK_1_.jpg
110813,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WOSSHSV7-NAVY_1__4.jpg
110812,http://static.americanswan.com/Lecom_Magento/media/catalog/product/1/4/142WOSSHSV7-NAVY_1__3.jpg
